Title,Description,URL,Annotation
Mark Cuban will campaign for Kamala Harris in 3 key swing states,Billionaire Mark Cuban will appear on Kamala Harris' behalf in three swing states by the end of the week.,https://www.businessinsider.com/kamala-harris-mark-cuban-campaign-swing-states-sec-chair-2024-10,Endorsement
Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,Endorsement
Russia claims it doesn't care who wins the US election. Its state media tells another story.,"Kamala Harris' tendency to burst out laughing has been ridiculed on Russian state TV.  Meanwhile, Donald Trump has been portrayed as confident.",https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10,Endorsement
Chloë Grace Moretz addresses her sexuality for the first time as she endorses Kamala Harris,"The actor, known for her roles in films such as ""Kick-Ass,"" said she supported legal protections for the LGBTQ+ community ""as a gay woman.""",https://www.businessinsider.com/chloe-grace-moretz-sexuality-gay-woman-supports-kamala-harris-election-2024-11,Endorsement
"Judith Kent, wife of JPMorgan CEO Jamie Dimon, went door to door in Michigan canvassing voters for Kamala Harris","Kent's husband, Jamie Dimon, hasn't publicly endorsed either presidential candidate this election.",https://www.businessinsider.com/judith-dimon-door-to-door-michigan-canvassing-votes-kamala-harris-2024-11,Endorsement
Could a Trump presidency damage both democracy and the economy? Experts weigh in,"Trump could damage the economy, experts say, if he makes good on threats to prosecute political rivals, including Kamala Harris.",https://abcnews.go.com/Politics/trump-presidency-damage-economy-weakens-democracy-experts/story?id=115142899,Endorsement
Mark Cuban says Trump ‘absolutely’ has ‘fascist tendencies’,"“I do believe Donald Trump poses a threat,” the billionaire entrepreneur backing Kamala Harris told ABC “This Week” co-anchor Jonathan Karl.",https://abcnews.go.com/Politics/mark-cuban-trump-absolutely-fascist-tendencies/story?id=115181894,Endorsement
Michelle Obama returns to political spotlight for final sprint of 2024 campaign,"Michelle Obama, who has made clear her dislike of partisan politics, is putting her considerable star power behind Kamala Harris and against Donald Trump.",https://abcnews.go.com/Politics/michelle-obama-returns-political-spotlight-final-sprint-2024/story?id=115233546,Endorsement
WATCH: Billie Eilish urges fans to 'vote for women’s rights' at Georgia concert,"Billie Eilish encouraged fans to ""vote for women’s rights” during her concert in Atlanta on Saturday. The singer previously endorsed Kamala Harris on Instagram in September.",https://abcnews.go.com/Entertainment/video/billie-eilish-urges-fans-vote-womens-rights-georgia-115496300,Endorsement
"80 countries have been led by a woman, but not the US","Despite Vice President Kamala Harris' efforts to shatter glass ceilings and become the first woman to be president in the U.S., the office remains solely male-dominated.",https://abcnews.go.com/Politics/80-countries-led-woman-us/story?id=115651816,Endorsement
