Title,Description,URL,Annotation
How Kamala Harris' style has changed throughout her career,"Kamala Harris has been rocking her signature style for decades. It usually includes pantsuits, Converse sneakers, and pearl jewelry.",https://www.businessinsider.com/kamala-harris-style-evolution-throughout-career-2024-10,Kamala as a person
"Kamala Harris wants to expand student-loan forgiveness for 10,000 doctors and nurses who agree to work in rural areas",Vice President Kamala Harris is proposing an expansion of student-loan forgiveness programs to recruit healthcare workers to rural areas in the US.,https://www.businessinsider.com/student-loan-forgiveness-kamala-harris-recruit-doctors-nurses-rural-communities-2024-10,Kamala as a person
Harris slams House speaker for suggesting GOP would cut federal semiconductor aid,Kamala Harris is criticizing House Speaker Mike Johnson for suggesting Republicans might cut government subsidies for semiconductor manufacturing,https://abcnews.go.com/Business/wireStory/harris-slams-house-speaker-suggesting-gop-cut-federal-115424321,Kamala as a person
Vice President Harris marks 6 years since Pittsburgh synagogue shooting,"In a statement Sunday, Vice President Kamala Harris commemorated six years since the deadly shooting at Pittsburgh's Tree of Life synagogue.",https://abcnews.go.com/Politics/vice-president-harris-marks-6-years-unspeakable-pittsburgh/story?id=115194924,Kamala as a person
"WATCH: Wrong-way driver came within feet of Harris' motorcade, officials say","A suspected drunken driver going the wrong way on the interstate came within feet of Vice President Kamala Harris' motorcade after a campaign stop this week in Wisconsin, a sheriff's official said.",https://abcnews.go.com/US/video/wrong-driver-feet-harris-motorcade-officials-115090435,Kamala as a person
Kamala Harris reacts to Yahya Sinwar's killing,"Vice President Kamala Harris weighed in on news of the death of Hamas chief Yahya Sinwar, who was killed during an Israeli operation in the Gaza Strip, according to Israel's military. Harris also called for a future in Gaza without Hamas. CBS News political d…",https://www.cbsnews.com/video/kamala-harris-reacts-to-yahya-sinwar-killing/,Kamala as a person
"Kamala Harris addresses Biden's ""garbage"" comment","Vice President Kamala Harris spoke briefly with reporters Wednesday morning about President Biden appearing to call Trump supporters ""garbage"" when discussing a comedian's joke about Puerto Rico at Sunday's Trump rally. The White House says Mr. Biden was refe…",https://www.cbsnews.com/video/kamala-harris-addresses-bidens-garbage-comment/,Kamala as a person
Harris warns Iran not to respond to Israel's counterstrike,"In an interview with CBS News, Vice President Kamala Harris said ""it would be a mistake"" for Iran to respond to Israel's counterstrike.",https://www.cbsnews.com/news/kamala-harris-warns-iran-not-to-respond-to-israel-counterstrike/,Kamala as a person
Biden lays wreath at the Tomb of the Unknown Soldier to honor Veterans Day,President Biden and Vice President Kamala Harris were at Arlington National Cemetery Monday to participate in a wreath-laying ceremony at the Tomb of the Unknown Soldier in observance of Veterans Day. CBS News chief White House correspondent Nancy Cordes prov…,https://www.cbsnews.com/video/biden-lays-wreath-at-the-tomb-of-the-unknown-soldier-to-honor-veterans-day/,Kamala as a person
Vice President Harris returns to work after conceding election,"With 74 days left in her term, Vice President Kamala Harris returns to the White House following her concession speech at Howard University. CBS News correspondent Willie James Inman has more on Harris's remarks and her final months in office.",https://www.cbsnews.com/video/vice-president-harris-returns-to-work-after-conceding-election/,Kamala as a person
Here's how much Kamala Harris is worth — it isn't just from politics,"Beyond her decades in politics, the vice president's earnings include book royalties and investments.",https://www.cbsnews.com/news/kamala-harris-net-worth-2024/,Kamala as a person
Kamala Harris’ press tour was a missed opportunity,"The vice president spoke with ""60 Minutes,"" ""The View,"" ""Call Her Daddy,"" Howard Stern and Stephen Colbert. But she didn't say much to swing undecided voters.",https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-60-minutes-call-her-daddy-the-view-rcna175077,Kamala as a person
