Title,Description,URL,Annotation
Washington Post reports that owner Jeff Bezos stopped it from endorsing Kamala Harris,"Former Washington Post executive editor Marty Baron called the decision ""a moment of darkness that will leave democracy as a casualty.""",https://www.businessinsider.com/jeff-bezos-owned-washington-post-wont-endorse-presidential-candidate-2024-10,Mentions of Kamala through other candidates
Trump complains to judge that Kamala Harris has used Jack Smith's evidence in ads,Donald Trump is fighting to delay yet another release of more of prosecutors' evidence in the 2020 election interference case against him.,https://www.businessinsider.com/trump-kamala-harris-election-interference-case-jack-smith-ads-02024-10,Mentions of Kamala through other candidates
Melania Trump defends her husband: 'He is not Hitler',"Donald Trump has falsely claimed that Kamala Harris called him ""Hitler.""",https://abcnews.go.com/Politics/melania-trump-defends-husband-hitler/story?id=115257844,Mentions of Kamala through other candidates
"Trump again questions Harris' racial, ethnic identity in podcast interview",Former President Donald Trump once again falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview.,https://abcnews.go.com/Politics/trump-questions-harris-racial-ethnic-identity-podcast-interview/story?id=114906094,Mentions of Kamala through other candidates
WATCH: Trump suggests he can’t lose fair election,"Former President Donald Trump cast doubt on the election results if he loses and falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview with the ""PBD Podcast.""",https://abcnews.go.com/GMA/News/video/trump-suggests-lose-fair-election-114920561,Mentions of Kamala through other candidates
Trump accuses Britain's ruling Labour Party of election interference,Former President Donald Trump accused Keir Starmer's British Labour Party of illegally assisting Vice President Kamala Harris ahead of the election Nov. 5.,https://www.nbcnews.com/news/world/trump-accuses-uk-labour-party-starmer-election-interference-harris-rcna176734,Mentions of Kamala through other candidates
Elon Musk’s X is boosting election conspiracy theories with AI-powered trending topics,The misinformation boosted by X’s AI model Grok included conspiracy theories about voter fraud and unsubstantiated smears about Vice President Kamala Harris.,https://www.nbcnews.com/tech/misinformation/elon-musk-x-boosts-election-conspiracy-theories-ai-trends-twitter-rcna176941,Mentions of Kamala through other candidates
Trump calls Harris a 's--- vice president' as personal attacks escalate,"Former President Donald Trump called rival Kamala Harris a ""s--- vice president"" during a rally in Latrobe, Pa., Saturday evening, punctuating his broader argument that she is too liberal in a more aggressive fashion and with fresh vulgarity.",https://www.nbcnews.com/politics/2024-election/trump-calls-harris-s-president-personal-attacks-escalate-rcna176259,Mentions of Kamala through other candidates
"Washington Post won't endorse presidential candidate, sparking outrage","The Washington Post on Friday said it will not endorse Kamala Harris, Donald Trump or any other candidate this year.",https://www.cbsnews.com/news/washington-post-endorsement-jeff-bezos-kamala-harris-trump-latimes/,Mentions of Kamala through other candidates
The irony of Trump accusing Harris of having ‘the plans of a simpleton’,"As Donald Trump accuses Kamala Harris of having ""the plans of a simpleton,"" the phrase ""every accusation is a confession"" comes to mind.",https://www.msnbc.com/rachel-maddow-show/maddowblog/irony-trump-accusing-harris-plans-simpleton-rcna178215,Mentions of Kamala through other candidates
Some on the right unravel over women who support Harris in secret,Some prominent conservatives sure do seem worked up by the idea that many American women might be secret Kamala Harris supporters.,https://www.msnbc.com/rachel-maddow-show/maddowblog/right-unravel-women-support-harris-secret-rcna178831,Mentions of Kamala through other candidates
Republicans are worried about women voters. Evidence suggests they should be.,"This week, right-wingers lost their minds over women voting for Kamala Harris — and the mere idea of women being allowed to cast votes for whomever they choose.",https://www.msnbc.com/the-reidout/reidout-blog/women-female-voters-trump-harris-abortion-election-rcna178453,Mentions of Kamala through other candidates
Sen. Lindsey Graham to Republicans supporting Harris: ‘What the hell are you doing?’,"South Carolina GOP Sen. Lindsey Graham on Sunday slammed members of his own party who are supporting Vice President Kamala Harris' presidential bid, telling them, ""What the hell are you doing?"" ""You're supporting the most radical nominee in the history of Ame…",https://www.nbcnews.com/politics/2024-election/lindsey-graham-republicans-supporting-harris-hell-are-you-doing-rcna176277,Mentions of Kamala through other candidates
Johnson says Harris is lying over his Affordable Care Act plans if Trump wins,House Speaker Mike Johnson is rebuking Vice President Kamala Harris' comments about the future of the Affordable Care Act if former President Donald Trump becomes president again. CBS News' Nikole Killion reports.,https://www.cbsnews.com/video/johnson-says-harris-is-lying-over-his-affordable-care-act-plans-if-trump-wins/,Mentions of Kamala through other candidates
Breaking down Trump's comments at the Al Smith Dinner,"Former President Trump attended the Al Smith Dinner in New York Thursday night, a traditional event on the campaign calendar that Kamala Harris chose not to attend, which Trump called disrespectful. CBS News campaign reporter Olivia Rinaldi has more.",https://www.cbsnews.com/video/breaking-down-trump-comments-at-the-al-smith-dinner/,Mentions of Kamala through other candidates
"Trump sues CBS News; network says suit ""completely without merit""",Former President Donald Trump has sued CBS News over a recent 60 Minutes interview with Vice President Kamala Harris. The network says it intends to vigorously defend against the lawsuit.,https://www.cbsnews.com/news/trump-sues-cbs-news-60-minutes-interview/,Mentions of Kamala through other candidates
Georgia official says fake voter fraud video is likely from Russian troll farm,Georgia Secretary of State Brad Raffensperger said a video purporting to show Haitians​ claiming that they illegally voted​ for Kamala Harris is fake and likely the work of a Russian troll farm.,https://www.cbsnews.com/news/georgia-video-fake-voter-fraud-russian-troll-farm/,Mentions of Kamala through other candidates
Trump speaks to reporters after voting in Florida,"Former President Donald Trump cast his ballot in Palm Beach, Florida, for Election Day 2024. After voting, Trump spoke to reporters and said he felt very confident about his race with Vice President Kamala Harris.",https://www.cbsnews.com/video/trump-speaks-to-reporters-in-florida-after-voting/,Mentions of Kamala through other candidates
Trump and Harris trade sharp attacks as 2024 presidential race heats up,"As the race in Michigan tightens, former President Donald Trump and Vice President Kamala Harris delivered sharp critiques of each other, with Trump making pointed comments at a charity dinner and Harris condemning his remarks about Jan. 6.",https://www.cbsnews.com/video/trump-and-harris-trade-sharp-attacks-as-2024-presidential-race-heats-up/,Mentions of Kamala through other candidates
